ip,anonymityLevel,asn,country,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,isp,responseTime
"170.233.117.249","elite","AS264738","AR","276","Sebastian Souto","4153","socks4","1","97","9606","9856","2025-05-22T04:25:21.059Z","Sebastian Souto","4218"
"110.78.82.233","elite","AS9931","TH","193","CAT Telecom public company Ltd","5678","socks4","1","88","2694","3073","2025-05-22T04:25:21.056Z","CAT Telecom Public Company Limited","4390"
"103.54.148.189","elite","AS134128","BD","182","N/A","1080","socks4","1","98","2891","2955","2025-05-22T04:25:21.062Z","Mega Speed","4396"
"103.84.134.9","elite","AS136238","MV","175","SatLink Pvt Ltd","1080","socks4","1","99","9672","9749","2025-05-22T04:25:21.061Z","SatLink Pvt Ltd","4897"
"78.47.122.82","elite","AS24940","DE","14","Hetzner Online GmbH","40088","socks4","1","100","1479","1479","2025-05-22T04:25:21.054Z","Hetzner Online GmbH","3710"
"78.31.93.76","elite","AS30813","PL","36","Ostrog.Net","1080","socks4","1","100","3074","3079","2025-05-22T04:25:21.059Z","Fione Spolka z Ogranicznona Odpowiedzialnoscia Spolka Komandytowa","4381"
"109.73.189.7","elite","AS49924","IT","61","N/A","5678","socks4","1","93","9037","9731","2025-05-22T04:25:21.161Z","ECROM-MAIN","4793"
"195.110.38.190","elite","AS48715","IR","84","Sefroyek Pardaz Engineering Co. LTD","1080","socks5","1","32","3126","9730","2025-05-22T04:25:21.159Z","Sefroyek Pardaz Engineering PJSC","3087"
"212.87.255.155","elite","AS206241","PL","26","Stowarzyszenie Do Spraw Rozwoju Spoleczenstwa Informacyjnego Subregionu Polnocnego Wojewodztwa Slaskiego","5678","socks4","1","100","2512","2517","2025-05-22T04:25:21.160Z","Stowarzyszenie Do Spraw Rozwoju Spoleczenstwa Informacyjnego Subregionu Polnocn","3199"
"5.62.47.219","elite","AS198605","US","161","AVAST cloud","33128","socks4","1","100","394","395","2025-05-22T04:25:21.055Z","AVAST Software s.r.o.","4401"
"51.178.182.200","elite","AS16276","FR","13","OVH","63172","socks4","1","100","3077","3078","2025-05-22T04:25:19.149Z","OVH SAS","4508"
"1.10.133.77","elite","AS23969","TH","203","Shared Dynamic IP Address for Residential Broadband Services","4145","socks4","1","63","6153","9701","2025-05-22T04:25:19.054Z","TOT Public Company Limited","3384"
"221.218.210.125","elite","AS4808","CN","229","N/A","1080","socks5","1","73","2133","2922","2025-05-22T04:25:16.046Z","China Unicom Beijing Province Network","4408"
"120.46.155.74","elite","AS55990","CN","157","Huawei Cloud Service","7890","socks4","1","83","8076","9722","2025-05-22T04:25:16.136Z","Huawei Cloud Service data center","4818"
"91.218.178.188","elite","AS48031","LK","29","Igra-Service LLC","63636","socks4","1","100","2930","2933","2025-05-22T04:25:16.529Z","Ivanov Vitaliy Sergeevich","3792"
"72.52.131.65","elite","AS32244","US","113","SourceDNS","80","socks5","1","96","9371","9743","2025-05-22T04:25:16.134Z","Liquid Web, L.L.C","4370"
"103.60.180.132","elite","AS55685","ID","172","N/A","4145","socks4","1","99","1543","1553","2025-05-22T04:25:16.127Z","PT. Jala Lintas Media","4988"
"123.114.207.105","elite","AS4808","CN","169","N/A","8118","socks4","1","72","6998","9745","2025-05-22T04:25:16.135Z","China Unicom Beijing Province Network","5077"
"51.255.44.171","elite","AS16276","FR","17","OVH","33049","socks5","1","100","3056","3057","2025-05-22T04:25:16.134Z","OVH SAS","2476"
"163.53.205.225","elite","AS58898","IN","190","Rainbow communications India Pvt Ltd","4153","socks4","1","100","9789","9827","2025-05-22T04:25:16.044Z","Rainbow communications India Pvt Ltd","4295"
"46.158.207.140","elite","AS12389","RU","58","OJSC Rostelecom Macroregional Branch South","7788","socks5","1","63","1802","2880","2025-05-22T04:25:16.136Z","OJSC Rostelecom Macroregional Branch South","4210"
"170.0.54.201","elite","AS264974","BR","198","Telecom Scae Ltda","8080","socks4","76","74","7210","9734","2025-05-22T04:25:16.045Z","Telecom Scae Ltda","1090"
"203.170.222.4","elite","AS133481","TH","188","CSL SME BB","8080","socks4","1","95","2614","2764","2025-05-22T04:25:16.133Z","Advanced Wireless Network Company Limited","4506"
"104.17.37.235","elite","AS13335","CA","7","Cloudflare, Inc.","13335","socks4","1","100","9847","9848","2025-05-22T04:25:13.528Z","Cloudflare, Inc.","1611"
"201.76.179.249","elite","AS17222","BR","227","Mundivox Do Brasil Ltda","31337","socks4","61","100","2658","2663","2025-05-22T04:25:13.462Z","Mundivox Do Brasil Ltda","4203"
"187.243.253.182","elite","AS13999","MX","163","Mega Cable, S.A. de C.V.","43015","socks4","1","41","4009","9767","2025-05-22T04:25:13.528Z","Mega Cable, S.A. de C.V.","3789"
"50.116.8.96","elite","AS63949","US","142","Linode","17477","socks5","1","77","7518","9702","2025-05-22T04:25:13.466Z","Akamai Technologies, Inc.","4601"
"206.189.145.23","elite","AS14061","SG","164","DigitalOcean, LLC","59867","socks4","1","97","2976","3081","2025-05-22T04:25:13.562Z","DigitalOcean, LLC","4105"
"116.199.168.1","elite","AS45661","IN","137","CAPTURE","4145","socks4","1","99","9739","9815","2025-05-22T04:25:13.464Z","Capture Network Systems Pvt Ltd","4372"
"110.77.149.50","elite","AS131090","TH","194","CAT BB","5678","socks4","1","94","2915","3099","2025-05-22T04:25:13.527Z","CAT Telecom Public Company Limited","3891"
"95.140.124.173","elite","AS9125","RS","29","Orion Telekom Network","1080","socks4","1","100","9783","9797","2025-05-22T04:25:13.563Z","Drustvo za telekomunikacije Orion telekom doo Beograd, Gandijeva 76a","4870"
